eventLength,eventVersion,eventType,sequence,manufacturer,sw,hw,deviceMajorId,deviceMinorId,battery,wakeTime,imei,cellId,ecl,rssi,rsrp,rsrq,plmn,aux,ns,latitude,ew,longitude,gpsTimestamp,altitude,positionHorizontalError,satellites,hdop,rawEvent,incidenceId,eventDate,isDGTNotificated,manufacturerId,deviceId
125,1,2,14,1,11,2,0000,0C3C,5.5,22,869154040242534,f98683d,0,-66,-80,22,21401,00000,N,41.644461,W,0.762087,2022-02-25T12:11:21Z,221,2,17,0.61,MTI1MDAxMjAxNDAwMDExMTAyMDAwMDBDM0M1NTAyMjg2OTE1NDA0MDI0MjUzNGY5ODY4M2QwIC02NiAtODAgIDIyIDIxNDAxMDAwMDBONDEuNjQ0NDYxVzAwMC43NjIwODcyMDIyMDIyNTEyMTEyMTAyMjEwMjE3MDAuNjE=,37985,2022-02-25T12:11:38Z,0,,3132
125,1,2,14,1,11,2,0000,0C56,4.1,22,869154040236601,f98683d,0,-70,-84,26,21401,00000,N,41.644517,W,0.762029,2022-02-25T12:11:25Z,211,2,17,0.6,MTI1MDAxMjAxNDAwMDExMTAyMDAwMDBDNTY0MTAyMjg2OTE1NDA0MDIzNjYwMWY5ODY4M2QwIC03MCAtODQgIDI2IDIxNDAxMDAwMDBONDEuNjQ0NTE3VzAwMC43NjIwMjkyMDIyMDIyNTEyMTEyNTAyMTEwMjE3MDAuNjA=,37988,2022-02-25T12:11:38Z,0,,3158
125,1,2,14,1,11,2,0000,0C3D,4.5,22,869154040119146,f98683d,0,-67,-81,21,21401,00000,N,41.64445,W,0.762091,2022-02-25T12:11:21Z,202,1,16,0.6,MTI1MDAxMjAxNDAwMDExMTAyMDAwMDBDM0Q0NTAyMjg2OTE1NDA0MDExOTE0NmY5ODY4M2QwIC02NyAtODEgIDIxIDIxNDAxMDAwMDBONDEuNjQ0NDUwVzAwMC43NjIwOTEyMDIyMDIyNTEyMTEyMTAyMDIwMTE2MDAuNjA=,37989,2022-02-25T12:11:36Z,0,,3133
125,1,2,14,1,11,2,0000,0C42,5.4,22,869154040239290,f98683d,0,-66,-80,23,21401,00000,N,41.644456,W,0.762058,2022-02-25T12:11:18Z,204,2,15,0.66,MTI1MDAxMjAxNDAwMDExMTAyMDAwMDBDNDI1NDAyMjg2OTE1NDA0MDIzOTI5MGY5ODY4M2QwIC02NiAtODAgIDIzIDIxNDAxMDAwMDBONDEuNjQ0NDU2VzAwMC43NjIwNTgyMDIyMDIyNTEyMTExNzAyMDQwMjE1MDAuNjY=,37984,2022-02-25T12:11:34Z,0,,3138
125,1,2,14,1,11,2,0000,0C54,5.4,22,869154040144540,f99883d,0,-70,-83,24,21401,00000,N,41.644564,W,0.761993,2022-02-25T12:11:16Z,207,2,16,0.66,MTI1MDAxMjAxNDAwMDExMTAyMDAwMDBDNTQ1NDAyMjg2OTE1NDA0MDE0NDU0MGY5OTg4M2QwIC03MCAtODMgIDI0IDIxNDAxMDAwMDBONDEuNjQ0NTY0VzAwMC43NjE5OTMyMDIyMDIyNTEyMTExNTAyMDcwMjE2MDAuNjY=,37982,2022-02-25T12:11:34Z,0,,3156
125,1,2,14,1,11,2,0000,0C51,4.5,22,869154040231404,f99883d,0,-66,-80,21,21401,00000,N,41.64446,W,0.761997,2022-02-25T12:07:55Z,214,2,17,0.61,MTI1MDAxMjAxNDAwMDExMTAyMDAwMDBDNTE0NTAyMjg2OTE1NDA0MDIzMTQwNGY5OTg4M2QwIC02NiAtODAgIDIxIDIxNDAxMDAwMDBONDEuNjQ0NDYwVzAwMC43NjE5OTcyMDIyMDIyNTEyMDc1NDAyMTQwMjE3MDAuNjE=,37983,2022-02-25T12:11:33Z,0,,3153
125,1,2,14,1,11,2,0000,0C43,4.8,22,869154040089430,f98683d,0,-69,-87,14,21401,00000,N,41.644437,W,0.762014,2022-02-25T12:11:23Z,205,1,18,0.58,MTI1MDAxMjAxNDAwMDExMTAyMDAwMDBDNDM0ODAyMjg2OTE1NDA0MDA4OTQzMGY5ODY4M2QxIC02OSAtODcgIDE0IDIxNDAxMDAwMDBONDEuNjQ0NDM3VzAwMC43NjIwMTQyMDIyMDIyNTEyMTEyMjAyMDUwMTE4MDAuNTg=,37987,2022-02-25T12:11:33Z,0,,3139
125,1,2,14,1,11,2,0000,0C3B,4.4,22,869154040260940,f99883d,0,-68,-83,24,21401,00000,N,41.644481,W,0.762005,2022-02-25T12:11:11Z,216,2,16,0.63,MTI1MDAxMjAxNDAwMDExMTAyMDAwMDBDM0I0NDAyMjg2OTE1NDA0MDI2MDk0MGY5OTg4M2QwIC02OCAtODMgIDI0IDIxNDAxMDAwMDBONDEuNjQ0NDgxVzAwMC43NjIwMDUyMDIyMDIyNTEyMTExMDAyMTYwMjE2MDAuNjM=,37980,2022-02-25T12:11:29Z,0,,3131
125,1,2,14,1,11,2,0000,0C52,4.8,23,869154040242906,f99883d,0,-69,-84,26,21401,00000,N,41.644452,W,0.761956,2022-02-25T12:11:10Z,205,2,17,0.61,MTI1MDAxMjAxNDAwMDExMTAyMDAwMDBDNTI0ODAyMzg2OTE1NDA0MDI0MjkwNmY5OTg4M2QwIC02OSAtODQgIDI2IDIxNDAxMDAwMDBONDEuNjQ0NDUyVzAwMC43NjE5NTYyMDIyMDIyNTEyMTExMDAyMDUwMjE3MDAuNjE=,37981,2022-02-25T12:11:29Z,0,,3154
125,1,2,14,1,11,2,0000,0C5E,5.1,23,869154040103934,f99883d,0,-66,-80,26,21401,00000,N,41.644487,W,0.761988,2022-02-25T12:11:05Z,209,2,17,0.6,MTI1MDAxMjAxNDAwMDExMTAyMDAwMDBDNUU1MTAyMzg2OTE1NDA0MDEwMzkzNGY5OTg4M2QwIC02NiAtODAgIDI2IDIxNDAxMDAwMDBONDEuNjQ0NDg3VzAwMC43NjE5ODgyMDIyMDIyNTEyMTEwNTAyMDkwMjE3MDAuNjA=,37979,2022-02-25T12:11:28Z,0,,3166
125,1,2,14,1,11,2,0000,0C3E,5.4,23,869154040082468,f99883d,0,-67,-82,27,21401,00000,N,41.644442,W,0.761998,2022-02-25T12:11:05Z,204,1,18,0.58,MTI1MDAxMjAxNDAwMDExMTAyMDAwMDBDM0U1NDAyMzg2OTE1NDA0MDA4MjQ2OGY5OTg4M2QwIC02NyAtODIgIDI3IDIxNDAxMDAwMDBONDEuNjQ0NDQyVzAwMC43NjE5OTgyMDIyMDIyNTEyMTEwNTAyMDQwMTE4MDAuNTg=,37978,2022-02-25T12:11:27Z,0,,3134
125,1,1,13,1,11,2,0000,0C56,4.7,22,869154040236601,f98683d,0,-70,-84,26,21401,00000,N,41.644517,W,0.762029,2022-02-25T12:09:46Z,211,2,17,0.6,MTI1MDAxMTAxMzAwMDExMTAyMDAwMDBDNTY0NzAyMjg2OTE1NDA0MDIzNjYwMWY5ODY4M2QwIC03MCAtODQgIDI2IDIxNDAxMDAwMDBONDEuNjQ0NTE3VzAwMC43NjIwMjkyMDIyMDIyNTEyMDk0NTAyMTEwMjE3MDAuNjA=,37988,2022-02-25T12:11:11Z,0,,3158
125,1,1,13,1,11,2,0000,0C3C,5.5,22,869154040242534,f98683d,0,-66,-80,23,21401,00000,N,41.644461,W,0.762087,2022-02-25T12:09:42Z,221,2,17,0.61,MTI1MDAxMTAxMzAwMDExMTAyMDAwMDBDM0M1NTAyMjg2OTE1NDA0MDI0MjUzNGY5ODY4M2QwIC02NiAtODAgIDIzIDIxNDAxMDAwMDBONDEuNjQ0NDYxVzAwMC43NjIwODcyMDIyMDIyNTEyMDk0MTAyMjEwMjE3MDAuNjE=,37985,2022-02-25T12:11:07Z,0,,3132
77,1,1,13,1,11,2,0000,0C48,4.5,22,869154040150836,f98683d,0,-72,-87,22,21401,00000,,0,,0,,0,0,0,0,MDc3MDAxMTAxMzAwMDExMTAyMDAwMDBDNDg0NTAyMjg2OTE1NDA0MDE1MDgzNmY5ODY4M2QwIC03MiAtODcgIDIyIDIxNDAxMDAwMDA=,37986,2022-02-25T12:11:07Z,0,,3144
